Barcode	Set	CellType
Cell-117102	P2	C6
Cell-117111	P2	C19
Cell-117113	P2	C29
Cell-117119	P2	C15
Cell-117138	P2	C16
Cell-117141	P2	C10
Cell-117143	P2	C19
Cell-117152	P2	C48
Cell-117153	P2	C7
Cell-117155	P2	C7
Cell-117157	P2	C4
Cell-117160	P2	C14
Cell-117164	P2	C21
Cell-117166	P2	C28
Cell-117167	P2	C36
Cell-117169	P2	C10
Cell-117179	P2	C5
Cell-117181	P2	C19
Cell-117182	P2	C5
Cell-117183	P2	C10
Cell-117186	P2	C48
Cell-117204	P2	C10
Cell-117207	P2	C4
Cell-117209	P2	C13
Cell-117210	P2	C9
Cell-117227	P2	C40
Cell-117229	P2	C14
Cell-117239	P2	C7
Cell-117241	P2	C7
Cell-117264	P2	C25
Cell-117266	P2	C10
Cell-117279	P2	C5
Cell-117281	P2	C1
Cell-117282	P2	C30
Cell-117297	P2	C3
Cell-117298	P2	C10
Cell-117306	P2	C1
Cell-117316	P2	C25
Cell-117332	P2	C4
Cell-117339	P2	C5
Cell-117343	P2	C10
Cell-117344	P2	C4
Cell-117356	P2	C11
Cell-117357	P2	C20
Cell-117361	P2	C33
Cell-117362	P2	C44
Cell-117378	P2	C1
Cell-117379	P2	C6
Cell-117381	P2	C20
Cell-117382	P2	C5
Cell-117385	P2	C36
Cell-117390	P2	C2
Cell-117391	P2	C2
Cell-117401	P2	C10
Cell-117405	P2	C20
Cell-117406	P2	C11
Cell-117419	P2	C20
Cell-117430	P2	C17
Cell-117431	P2	C34
Cell-117432	P2	C25
Cell-117444	P2	C5
Cell-117448	P2	C9
Cell-117450	P2	C20
Cell-117468	P2	C10
Cell-117469	P2	C6
Cell-117472	P2	C19
Cell-117474	P2	C2
Cell-117480	P2	C1
Cell-117485	P2	C20
Cell-117487	P2	C4
Cell-117489	P2	C17
Cell-117490	P2	C4
Cell-117500	P2	C1
Cell-117505	P2	C2
Cell-117506	P2	C17
Cell-117507	P2	C1
Cell-117508	P2	C17
Cell-117509	P2	C2
Cell-117514	P2	C2
Cell-117518	P2	C2
Cell-117523	P2	C2
Cell-117537	P2	C10
Cell-117541	P2	C6
Cell-117547	P2	C3
Cell-117553	P2	C6
Cell-117556	P2	C25
Cell-117572	P2	C3
Cell-117573	P2	C4
Cell-117575	P2	C1
Cell-117577	P2	C1
Cell-117580	P2	C10
Cell-117583	P2	C37
Cell-117585	P2	C9
Cell-117589	P2	C4
Cell-117601	P2	C6
Cell-117612	P2	C14
Cell-117615	P2	C5
Cell-117617	P2	C28
Cell-117618	P2	C3
Cell-117619	P2	C10
Cell-117621	P2	C1
Cell-117623	P2	C5
Cell-117637	P2	C5
Cell-117639	P2	C16
Cell-117642	P2	C10
Cell-117653	P2	C4
Cell-117667	P2	C33
Cell-117670	P2	C17
Cell-117683	P2	C37
Cell-117684	P2	C13
Cell-117686	P2	C25
Cell-117703	P2	C10
Cell-117706	P2	C4
Cell-117716	P2	C4
Cell-117721	P2	C17
Cell-117725	P2	C6
Cell-117731	P2	C30
Cell-117748	P2	C25
Cell-117749	P2	C6
Cell-117761	P2	C26
Cell-117768	P2	C19
Cell-117775	P2	C1
Cell-117778	P2	C3
Cell-117781	P2	C7
Cell-117784	P2	C1
Cell-117789	P2	C4
Cell-117794	P2	C17
Cell-117795	P2	C11
Cell-117798	P2	C5
Cell-117811	P2	C1
Cell-117815	P2	C4
Cell-117816	P2	C2
Cell-117817	P2	C33
Cell-117831	P2	C14
Cell-117832	P2	C5
Cell-117841	P2	C10
Cell-117852	P2	C10
Cell-117855	P2	C34
Cell-117857	P2	C48
Cell-117863	P2	C10
Cell-117864	P2	C1
Cell-117865	P2	C48
Cell-117866	P2	C4
Cell-117868	P2	C6
Cell-117869	P2	C5
Cell-117870	P2	C4
Cell-117874	P2	C9
Cell-117880	P2	C5
Cell-117883	P2	C17
Cell-117887	P2	C48
Cell-117922	P2	C2
Cell-117924	P2	C7
Cell-117946	P2	C10
Cell-117969	P2	C1
Cell-117972	P2	C42
Cell-117974	P2	C19
Cell-117986	P2	C2
Cell-117990	P2	C4
Cell-117991	P2	C14
Cell-117993	P2	C35
Cell-117994	P2	C27
Cell-117995	P2	C1
Cell-118004	P2	C7
Cell-118021	P2	C9
Cell-118024	P2	C7
Cell-118025	P2	C1
Cell-118026	P2	C17
Cell-118031	P2	C25
Cell-118042	P2	C2
Cell-118046	P2	C21
Cell-118047	P2	C1
Cell-118060	P2	C5
Cell-118062	P2	C24
Cell-118076	P2	C1
Cell-118080	P2	C13
Cell-118093	P2	C19
Cell-118095	P2	C48
Cell-118096	P2	C19
Cell-118098	P2	C6
Cell-118101	P2	C8
Cell-118102	P2	C4
Cell-118111	P2	C39
Cell-118112	P2	C1
Cell-118113	P2	C2
Cell-118117	P2	C5
Cell-118131	P2	C6
Cell-118146	P2	C2
Cell-118161	P2	C11
Cell-118183	P2	C6
Cell-118185	P2	C5
Cell-118187	P2	C11
Cell-118193	P2	C13
Cell-118198	P2	C52
Cell-118199	P2	C23
Cell-118206	P2	C5
Cell-118209	P2	C24
Cell-118212	P2	C1
Cell-118213	P2	C34
Cell-118225	P2	C4
Cell-118226	P2	C2
Cell-118227	P2	C1
Cell-118229	P2	C2
Cell-118231	P2	C7
Cell-118232	P2	C4
Cell-118249	P2	C4
Cell-118256	P2	C6
Cell-118258	P2	C44
Cell-118261	P2	C33
Cell-118262	P2	C5
Cell-118263	P2	C6
Cell-118264	P2	C19
Cell-118271	P2	C10
Cell-118272	P2	C9
Cell-118273	P2	C1
Cell-118274	P2	C5
Cell-118275	P2	C7
Cell-118294	P2	C5
Cell-118295	P2	C44
Cell-118296	P2	C19
Cell-118299	P2	C1
Cell-118300	P2	C15
Cell-118301	P2	C13
Cell-118307	P2	C14
Cell-118308	P2	C2
Cell-118316	P2	C20
Cell-118326	P2	C10
Cell-118327	P2	C19
Cell-118329	P2	C13
Cell-118339	P2	C3
Cell-118343	P2	C30
Cell-118344	P2	C3
Cell-118351	P2	C32
Cell-118357	P2	C9
Cell-118360	P2	C1
Cell-118361	P2	C11
Cell-118362	P2	C4
Cell-118372	P2	C6
Cell-118374	P2	C15
Cell-118387	P2	C1
Cell-118390	P2	C3
Cell-118406	P2	C2
Cell-118407	P2	C7
Cell-118408	P2	C9
Cell-118419	P2	C14
Cell-118431	P2	C7
Cell-118443	P2	C12
Cell-118444	P2	C3
Cell-118445	P2	C35
Cell-118446	P2	C23
Cell-118466	P2	C6
Cell-118468	P2	C23
Cell-118475	P2	C13
Cell-118483	P2	C14
Cell-118484	P2	C6
Cell-118485	P2	C4
Cell-118486	P2	C27
Cell-118493	P2	C18
Cell-118501	P2	C17
Cell-118513	P2	C10
Cell-118514	P2	C2
Cell-118524	P2	C13
Cell-118528	P2	C10
Cell-118536	P2	C35
Cell-118540	P2	C17
Cell-118549	P2	C16
Cell-118550	P2	C3
Cell-118551	P2	C5
Cell-118552	P2	C11
Cell-118562	P2	C37
Cell-118567	P2	C13
Cell-118570	P2	C7
Cell-118577	P2	C38
Cell-118579	P2	C43
Cell-118590	P2	C19
Cell-118591	P2	C1
Cell-118592	P2	C14
Cell-118600	P2	C11
Cell-118602	P2	C3
Cell-118609	P2	C6
Cell-118611	P2	C4
Cell-118612	P2	C40
Cell-118617	P2	C1
Cell-118619	P2	C5
Cell-118632	P2	C1
Cell-118633	P2	C4
Cell-118635	P2	C1
Cell-118636	P2	C4
Cell-118649	P2	C10
Cell-118660	P2	C5
Cell-118661	P2	C3
Cell-118667	P2	C25
Cell-118670	P2	C6
Cell-118672	P2	C28
Cell-118680	P2	C2
Cell-118698	P2	C5
Cell-118714	P2	C2
Cell-118716	P2	C14
Cell-118717	P2	C7
Cell-118725	P2	C48
Cell-118727	P2	C3
Cell-118730	P2	C7
Cell-118755	P2	C8
Cell-118756	P2	C14
Cell-118757	P2	C2
Cell-118763	P2	C17
Cell-118764	P2	C14
Cell-118765	P2	C3
Cell-118766	P2	C5
Cell-118767	P2	C24
Cell-118774	P2	C6
Cell-118775	P2	C40
Cell-118777	P2	C3
Cell-118780	P2	C3
Cell-118781	P2	C4
Cell-118782	P2	C13
Cell-118783	P2	C17
Cell-118795	P2	C3
Cell-118812	P2	C1
Cell-118813	P2	C14
Cell-118816	P2	C5
Cell-118817	P2	C1
Cell-118835	P2	C1
Cell-118838	P2	C4
Cell-118840	P2	C1
Cell-118857	P2	C3
Cell-118858	P2	C48
Cell-118860	P2	C14
Cell-118873	P2	C38
Cell-118875	P2	C3
Cell-118876	P2	C2
Cell-118877	P2	C17
Cell-118880	P2	C8
Cell-118881	P2	C2
Cell-118882	P2	C23
Cell-118889	P2	C24
Cell-118890	P2	C1
Cell-118900	P2	C10
Cell-118901	P2	C10
Cell-118904	P2	C1
Cell-118905	P2	C4
Cell-118906	P2	C17
Cell-118923	P2	C28
Cell-118934	P2	C12
Cell-118935	P2	C5
Cell-118936	P2	C1
Cell-118939	P2	C14
Cell-118940	P2	C37
Cell-118942	P2	C4
Cell-118948	P2	C28
Cell-118949	P2	C33
Cell-118951	P2	C23
Cell-118963	P2	C52
Cell-118965	P2	C19
Cell-118967	P2	C7
Cell-118968	P2	C44
Cell-118982	P2	C10
Cell-118999	P2	C17
Cell-119002	P2	C13
Cell-119003	P2	C14
Cell-119006	P2	C12
Cell-119020	P2	C10
Cell-119032	P2	C3
Cell-119034	P2	C34
Cell-119035	P2	C4
Cell-119036	P2	C23
Cell-119043	P2	C20
Cell-119048	P2	C7
Cell-119057	P2	C36
Cell-119058	P2	C7
Cell-119069	P2	C16
Cell-119071	P2	C24
Cell-119077	P2	C16
Cell-119083	P2	C30
Cell-119084	P2	C14
Cell-119093	P2	C2
Cell-119094	P2	C4
Cell-119109	P2	C1
Cell-119117	P2	C14
Cell-119118	P2	C1
Cell-119121	P2	C16
Cell-119122	P2	C19
Cell-119136	P2	C3
Cell-119143	P2	C5
Cell-119164	P2	C6
Cell-119167	P2	C24
Cell-119168	P2	C11
Cell-119181	P2	C16
Cell-119182	P2	C14
Cell-119195	P2	C5
Cell-119198	P2	C29
Cell-119225	P2	C22
Cell-119230	P2	C13
Cell-119233	P2	C14
Cell-119235	P2	C9
Cell-119237	P2	C8
Cell-119244	P2	C17
Cell-119247	P2	C25
Cell-119254	P2	C3
Cell-119257	P2	C13
Cell-119261	P2	C14
Cell-119263	P2	C11
Cell-119272	P2	C10
Cell-119280	P2	C4
Cell-119282	P2	C4
Cell-119284	P2	C16
Cell-119287	P2	C16
Cell-119299	P2	C10
Cell-119307	P2	C19
Cell-119310	P2	C1
Cell-119311	P2	C29
Cell-119312	P2	C9
Cell-119318	P2	C18
Cell-119326	P2	C10
Cell-119327	P2	C5
Cell-119328	P2	C4
Cell-119335	P2	C48
Cell-119339	P2	C14
Cell-119342	P2	C5
Cell-119343	P2	C1
Cell-119351	P2	C4
Cell-119352	P2	C1
Cell-119356	P2	C9
Cell-119357	P2	C52
Cell-119359	P2	C1
Cell-119360	P2	C25
Cell-119362	P2	C13
Cell-119363	P2	C5
Cell-119366	P2	C1
Cell-119368	P2	C33
Cell-119373	P2	C28
Cell-119375	P2	C11
Cell-119376	P2	C23
Cell-119393	P2	C20
Cell-119400	P2	C32
Cell-119401	P2	C10
Cell-119405	P2	C14
Cell-119411	P2	C5
Cell-119412	P2	C10
Cell-119413	P2	C2
Cell-119435	P2	C10
Cell-119436	P2	C52
Cell-119437	P2	C5
Cell-119438	P2	C28
Cell-119448	P2	C16
Cell-119449	P2	C4
Cell-119450	P2	C5
Cell-119453	P2	C34
Cell-119456	P2	C11
Cell-119469	P2	C2
Cell-119471	P2	C5
Cell-119476	P2	C5
Cell-119477	P2	C16
Cell-119479	P2	C8
Cell-119491	P2	C19
Cell-119496	P2	C10
Cell-119499	P2	C15
Cell-119505	P2	C42
Cell-119510	P2	C2
Cell-119511	P2	C12
Cell-119512	P2	C2
Cell-119515	P2	C10
Cell-119532	P2	C3
Cell-119536	P2	C3
Cell-119541	P2	C9
Cell-119543	P2	C2
Cell-119554	P2	C5
Cell-119556	P2	C11
Cell-119561	P2	C36
Cell-119562	P2	C1
Cell-119565	P2	C4
Cell-119566	P2	C50
Cell-119567	P2	C22
Cell-119578	P2	C17
Cell-119588	P2	C13
Cell-119589	P2	C2
Cell-119591	P2	C11
Cell-119603	P2	C17
Cell-119604	P2	C7
Cell-119611	P2	C1
Cell-119613	P2	C2
Cell-119629	P2	C2
Cell-119632	P2	C16
Cell-119635	P2	C19
Cell-119644	P2	C32
Cell-119645	P2	C45
Cell-119647	P2	C23
Cell-119669	P2	C13
Cell-119670	P2	C7
Cell-119678	P2	C14
Cell-119680	P2	C5
Cell-119681	P2	C3
Cell-119682	P2	C5
Cell-119684	P2	C13
Cell-119690	P2	C2
Cell-119691	P2	C25
Cell-119692	P2	C4
Cell-119693	P2	C13
Cell-119696	P2	C10
Cell-119699	P2	C4
Cell-119700	P2	C4
Cell-119701	P2	C11
Cell-119703	P2	C3
Cell-119704	P2	C7
Cell-119718	P2	C19
Cell-119719	P2	C26
Cell-119723	P2	C45
Cell-119732	P2	C17
Cell-119734	P2	C16
Cell-119739	P2	C11
Cell-119750	P2	C46
Cell-119751	P2	C17
Cell-119762	P2	C19
Cell-119765	P2	C9
Cell-119767	P2	C1
Cell-119779	P2	C4
Cell-119780	P2	C25
Cell-119781	P2	C43
Cell-119783	P2	C19
Cell-119799	P2	C1
Cell-119801	P2	C16
Cell-119805	P2	C27
Cell-119817	P2	C3
Cell-119818	P2	C17
Cell-119842	P2	C24
Cell-119844	P2	C5
Cell-119847	P2	C20
Cell-119850	P2	C17
Cell-119854	P2	C43
Cell-119863	P2	C40
Cell-119864	P2	C19
Cell-119867	P2	C2
Cell-119870	P2	C4
Cell-119878	P2	C37
Cell-119886	P2	C2
Cell-119898	P2	C33
Cell-119902	P2	C9
Cell-119918	P2	C5
Cell-119921	P2	C13
Cell-119923	P2	C51
Cell-119937	P2	C4
Cell-119938	P2	C5
Cell-119942	P2	C24
Cell-119947	P2	C5
Cell-119948	P2	C7
Cell-119950	P2	C2
Cell-119951	P2	C24
Cell-119965	P2	C4
Cell-119966	P2	C23
Cell-119967	P2	C6
Cell-119968	P2	C6
Cell-119993	P2	C4
Cell-119997	P2	C10
Cell-119998	P2	C19
Cell-120000	P2	C1
Cell-120001	P2	C5
Cell-120002	P2	C4
Cell-120003	P2	C14
Cell-120014	P2	C15
Cell-120035	P2	C2
Cell-120037	P2	C4
Cell-120038	P2	C13
Cell-120039	P2	C11
Cell-120058	P2	C5
Cell-120059	P2	C34
Cell-120062	P2	C5
Cell-120065	P2	C4
Cell-120066	P2	C15
Cell-120074	P2	C19
Cell-120086	P2	C14
Cell-120090	P2	C9
Cell-120093	P2	C25
Cell-120095	P2	C36
Cell-120116	P2	C7
Cell-120127	P2	C21
Cell-120129	P2	C32
Cell-120131	P2	C15
Cell-120135	P2	C16
Cell-120136	P2	C28
Cell-120145	P2	C7
Cell-120148	P2	C37
Cell-120152	P2	C18
Cell-120162	P2	C4
Cell-120187	P2	C5
Cell-120203	P2	C4
Cell-120209	P2	C32
Cell-120210	P2	C13
Cell-120212	P2	C2
Cell-120227	P2	C6
Cell-120228	P2	C13
Cell-120230	P2	C6
Cell-120233	P2	C21
Cell-120243	P2	C17
Cell-120246	P2	C7
Cell-120247	P2	C28
Cell-120250	P2	C39
Cell-120252	P2	C42
Cell-120253	P2	C4
Cell-120256	P2	C3
Cell-120259	P2	C29
Cell-120271	P2	C37
Cell-120282	P2	C4
Cell-120283	P2	C24
Cell-120284	P2	C4
Cell-120291	P2	C48
Cell-120298	P2	C16
Cell-120310	P2	C23
Cell-120314	P2	C13
Cell-120329	P2	C13
Cell-120330	P2	C9
Cell-120333	P2	C45
Cell-120334	P2	C2
Cell-120337	P2	C13
Cell-120346	P2	C1
Cell-120354	P2	C2
Cell-120358	P2	C5
Cell-120361	P2	C2
Cell-120362	P2	C7
Cell-120373	P2	C33
Cell-120374	P2	C2
Cell-120379	P2	C3
Cell-120391	P2	C10
Cell-120393	P2	C14
Cell-120394	P2	C10
Cell-120398	P2	C8
Cell-120406	P2	C14
Cell-120407	P2	C14
Cell-120408	P2	C4
Cell-120410	P2	C1
Cell-120411	P2	C22
Cell-120415	P2	C13
Cell-120416	P2	C24
Cell-120417	P2	C3
Cell-120427	P2	C5
Cell-120428	P2	C39
Cell-120440	P2	C7
Cell-120443	P2	C6
Cell-120444	P2	C1
Cell-120445	P2	C28
Cell-120459	P2	C9
Cell-120462	P2	C6
Cell-120479	P2	C2
Cell-120484	P2	C36
Cell-120497	P2	C5
Cell-120499	P2	C5
Cell-120502	P2	C14
Cell-120516	P2	C17
Cell-120519	P2	C13
Cell-120523	P2	C32
Cell-120524	P2	C10
Cell-120531	P2	C17
Cell-120540	P2	C56
Cell-120556	P2	C37
Cell-120558	P2	C9
Cell-120564	P2	C22
Cell-120579	P2	C14
Cell-120590	P2	C22
Cell-120609	P2	C56
Cell-120611	P2	C27
Cell-120628	P2	C2
Cell-120630	P2	C3
Cell-120631	P2	C29
Cell-120632	P2	C2
Cell-120644	P2	C4
Cell-120649	P2	C6
Cell-120654	P2	C11
Cell-120671	P2	C24
Cell-120675	P2	C2
Cell-120685	P2	C7
Cell-120691	P2	C13
Cell-120695	P2	C36
Cell-120697	P2	C14
Cell-120698	P2	C13
Cell-120705	P2	C2
Cell-120708	P2	C6
Cell-120711	P2	C13
Cell-120717	P2	C13
Cell-120727	P2	C5
Cell-120730	P2	C17
Cell-120731	P2	C9
Cell-120732	P2	C6
Cell-120733	P2	C7
Cell-120739	P2	C10
Cell-120741	P2	C11
Cell-120742	P2	C5
Cell-120744	P2	C2
Cell-120745	P2	C17
Cell-120763	P2	C2
Cell-120764	P2	C6
Cell-120770	P2	C13
Cell-120771	P2	C29
Cell-120786	P2	C1
Cell-120789	P2	C7
Cell-120790	P2	C5
Cell-120792	P2	C2
Cell-120797	P2	C32
Cell-120804	P2	C15
Cell-120821	P2	C16
Cell-120825	P2	C48
Cell-120831	P2	C15
Cell-120833	P2	C29
Cell-120836	P2	C14
Cell-120849	P2	C7
Cell-120850	P2	C22
Cell-120851	P2	C7
Cell-120852	P2	C2
Cell-120853	P2	C6
Cell-120862	P2	C33
Cell-120863	P2	C18
Cell-120867	P2	C1
Cell-120868	P2	C9
Cell-120871	P2	C26
Cell-120872	P2	C9
Cell-120874	P2	C3
Cell-120895	P2	C4
Cell-120899	P2	C28
Cell-120901	P2	C5
Cell-120902	P2	C1
Cell-120919	P2	C32
Cell-120921	P2	C14
Cell-120924	P2	C15
Cell-120927	P2	C14
Cell-120932	P2	C8
Cell-120934	P2	C25
Cell-120951	P2	C3
Cell-120962	P2	C5
Cell-120963	P2	C25
Cell-120969	P2	C10
Cell-120970	P2	C13
Cell-120977	P2	C12
Cell-120979	P2	C5
Cell-120985	P2	C13
Cell-120986	P2	C5
Cell-120987	P2	C10
Cell-120998	P2	C7
Cell-120999	P2	C17
Cell-121001	P2	C13
Cell-121003	P2	C38
Cell-121004	P2	C1
Cell-121005	P2	C6
Cell-121006	P2	C19
Cell-121008	P2	C7
Cell-121009	P2	C5
Cell-121011	P2	C2
Cell-121012	P2	C33
Cell-121030	P2	C1
Cell-121031	P2	C9
Cell-121038	P2	C22
Cell-121051	P2	C33
Cell-121055	P2	C4
Cell-121057	P2	C9
Cell-121059	P2	C33
Cell-121060	P2	C4
Cell-121074	P2	C11
Cell-121100	P2	C14
Cell-121120	P2	C2
Cell-121123	P2	C10
Cell-121132	P2	C17
Cell-121137	P2	C15
Cell-121138	P2	C44
Cell-121139	P2	C10
Cell-121148	P2	C19
Cell-121150	P2	C9
Cell-121151	P2	C44
Cell-121178	P2	C21
Cell-121179	P2	C7
Cell-121181	P2	C5
Cell-121201	P2	C4
Cell-121202	P2	C28
Cell-121216	P2	C2
Cell-121217	P2	C13
Cell-121227	P2	C5
Cell-121235	P2	C11
Cell-121236	P2	C3
Cell-121237	P2	C19
Cell-121241	P2	C1
Cell-121243	P2	C5
Cell-121257	P2	C10
Cell-121263	P2	C5
Cell-121268	P2	C27
Cell-121286	P2	C13
Cell-121288	P2	C22
Cell-121289	P2	C1
Cell-121292	P2	C1
Cell-121307	P2	C7
Cell-121308	P2	C22
Cell-121326	P2	C10
Cell-121327	P2	C10
Cell-121347	P2	C1
Cell-121351	P2	C8
Cell-121352	P2	C39
Cell-121370	P2	C15
Cell-121371	P2	C11
Cell-121373	P2	C5
Cell-121391	P2	C15
Cell-121392	P2	C7
Cell-121394	P2	C5
Cell-121395	P2	C7
Cell-121396	P2	C19
Cell-121411	P2	C7
Cell-121425	P2	C6
Cell-121427	P2	C2
Cell-121429	P2	C37
Cell-121450	P2	C21
Cell-121451	P2	C17
Cell-121453	P2	C9
Cell-121454	P2	C11
Cell-121461	P2	C5
Cell-121469	P2	C1
Cell-121476	P2	C8
Cell-121477	P2	C19
Cell-121478	P2	C13
Cell-121479	P2	C16
Cell-121491	P2	C38
Cell-121493	P2	C27
Cell-121505	P2	C14
Cell-121508	P2	C38
Cell-121510	P2	C6
Cell-121514	P2	C1
Cell-121520	P2	C29
Cell-121521	P2	C13
Cell-121522	P2	C39
Cell-121531	P2	C22
Cell-121534	P2	C19
Cell-121539	P2	C15
Cell-121545	P2	C14
Cell-121548	P2	C16
Cell-121562	P2	C22
Cell-121563	P2	C13
Cell-121565	P2	C10
Cell-121567	P2	C1
Cell-121569	P2	C24
Cell-121573	P2	C13
Cell-121594	P2	C17
Cell-121597	P2	C1
Cell-121598	P2	C19
Cell-121600	P2	C43
Cell-121624	P2	C26
Cell-121625	P2	C5
Cell-121630	P2	C2
Cell-121631	P2	C22
Cell-121632	P2	C19
Cell-121650	P2	C4
Cell-121663	P2	C16
Cell-121667	P2	C18
Cell-121669	P2	C3
Cell-121670	P2	C9
Cell-121681	P2	C16
Cell-121682	P2	C4
Cell-121691	P2	C13
Cell-121696	P2	C24
Cell-121700	P2	C14
Cell-121702	P2	C3
Cell-121713	P2	C5
Cell-121714	P2	C6
Cell-121716	P2	C13
Cell-121725	P2	C13
Cell-121728	P2	C3
Cell-121729	P2	C2
Cell-121739	P2	C6
Cell-121741	P2	C33
Cell-121742	P2	C7
Cell-121743	P2	C9
Cell-121746	P2	C4
Cell-121747	P2	C10
Cell-121756	P2	C16
Cell-121757	P2	C28
Cell-121758	P2	C4
Cell-121765	P2	C14
Cell-121780	P2	C5
Cell-121781	P2	C4
Cell-121801	P2	C20
Cell-121803	P2	C16
Cell-121804	P2	C3
Cell-121812	P2	C2
Cell-121814	P2	C1
Cell-121815	P2	C7
Cell-121816	P2	C33
Cell-121824	P2	C5
Cell-121825	P2	C13
Cell-121830	P2	C16
Cell-121832	P2	C30
Cell-121851	P2	C21
Cell-121853	P2	C40
Cell-121862	P2	C13
Cell-121873	P2	C1
Cell-121882	P2	C10
Cell-121883	P2	C16
Cell-121886	P2	C5
Cell-121888	P2	C5
Cell-121904	P2	C4
Cell-121905	P2	C9
Cell-121907	P2	C14
Cell-121922	P2	C14
Cell-121923	P2	C11
Cell-121934	P2	C25
Cell-121938	P2	C2
Cell-121949	P2	C7
Cell-121950	P2	C15
Cell-121963	P2	C42
Cell-121968	P2	C1
Cell-121976	P2	C39
Cell-121985	P2	C25
Cell-121986	P2	C14
Cell-121996	P2	C13
Cell-121999	P2	C4
Cell-122002	P2	C1
Cell-122003	P2	C5
Cell-122010	P2	C13
Cell-122015	P2	C43
Cell-122016	P2	C5
Cell-122028	P2	C5
Cell-122040	P2	C11
Cell-122041	P2	C17
Cell-122050	P2	C3
Cell-122055	P2	C4
Cell-122056	P2	C32
Cell-122059	P2	C13
Cell-122061	P2	C1
Cell-122064	P2	C1
Cell-122065	P2	C43
Cell-122067	P2	C1
Cell-122078	P2	C2
Cell-122079	P2	C4
Cell-122081	P2	C25
Cell-122082	P2	C20
Cell-122088	P2	C1
Cell-122102	P2	C4
Cell-122104	P2	C14
Cell-122107	P2	C15
Cell-122108	P2	C5
Cell-122111	P2	C9
Cell-122122	P2	C7
Cell-122124	P2	C4
Cell-122125	P2	C5
Cell-122127	P2	C11
Cell-122136	P2	C7
Cell-122139	P2	C5
Cell-122141	P2	C5
Cell-122144	P2	C15
Cell-122145	P2	C4
Cell-122146	P2	C5
Cell-122147	P2	C10
Cell-122161	P2	C21
Cell-122175	P2	C42
Cell-122176	P2	C7
Cell-122195	P2	C9
Cell-122199	P2	C39
Cell-122200	P2	C40
Cell-122201	P2	C37
Cell-122222	P2	C16
Cell-122226	P2	C22
Cell-122227	P2	C15
Cell-122228	P2	C28
Cell-122236	P2	C5
Cell-122244	P2	C9
Cell-122245	P2	C14
Cell-122247	P2	C10
Cell-122254	P2	C5
Cell-122256	P2	C25
Cell-122268	P2	C29
Cell-122273	P2	C10
Cell-122275	P2	C25
Cell-122276	P2	C2
Cell-122294	P2	C18
Cell-122297	P2	C24
Cell-122314	P2	C32
Cell-122315	P2	C10
Cell-122317	P2	C22
Cell-122319	P2	C13
Cell-122321	P2	C14
Cell-122322	P2	C3
Cell-122323	P2	C2
Cell-122325	P2	C14
Cell-122337	P2	C29
Cell-122340	P2	C32
Cell-122343	P2	C19
Cell-122344	P2	C4
Cell-122345	P2	C16
Cell-122347	P2	C23
Cell-122356	P2	C19
Cell-122359	P2	C5
Cell-122361	P2	C5
Cell-122367	P2	C7
Cell-122373	P2	C20
Cell-122382	P2	C52
Cell-122383	P2	C7
Cell-122384	P2	C5
Cell-122385	P2	C10
Cell-122389	P2	C1
Cell-122396	P2	C44
Cell-122397	P2	C4
Cell-122400	P2	C48
Cell-122401	P2	C5
Cell-122402	P2	C21
Cell-122403	P2	C10
Cell-122419	P2	C7
Cell-122422	P2	C3
Cell-122425	P2	C5
Cell-122426	P2	C6
Cell-122431	P2	C14
Cell-122435	P2	C2
Cell-122447	P2	C9
Cell-122454	P2	C7
Cell-122463	P2	C23
Cell-122468	P2	C38
Cell-122469	P2	C5
Cell-122475	P2	C10
Cell-122490	P2	C2
Cell-122498	P2	C17
Cell-122499	P2	C45
Cell-122503	P2	C7
Cell-122504	P2	C14
Cell-122513	P2	C7
Cell-122514	P2	C4
Cell-122515	P2	C29
Cell-122528	P2	C22
Cell-122556	P2	C30
Cell-122561	P2	C5
Cell-122562	P2	C28
Cell-122580	P2	C27
Cell-122590	P2	C14
Cell-122602	P2	C7
Cell-122606	P2	C20
Cell-122607	P2	C3
Cell-122608	P2	C24
Cell-122620	P2	C25
Cell-122631	P2	C14
Cell-122633	P2	C4
Cell-122647	P2	C10
Cell-122649	P2	C7
Cell-122650	P2	C1
Cell-122672	P2	C32
Cell-122673	P2	C10
Cell-122677	P2	C5
Cell-122680	P2	C5
Cell-122682	P2	C3
Cell-122684	P2	C20
Cell-122693	P2	C2
Cell-122696	P2	C7
Cell-122697	P2	C5
Cell-122705	P2	C20
Cell-122720	P2	C34
Cell-122721	P2	C9
Cell-122727	P2	C1
Cell-122734	P2	C3
Cell-122736	P2	C4
Cell-122737	P2	C6
Cell-122761	P2	C13
Cell-122762	P2	C5
Cell-122763	P2	C5
Cell-122791	P2	C29
Cell-122793	P2	C19
Cell-122801	P2	C1
Cell-122802	P2	C1
Cell-122809	P2	C2
Cell-122812	P2	C5
Cell-122814	P2	C5
Cell-122815	P2	C4
Cell-122817	P2	C56
Cell-122819	P2	C2
Cell-122829	P2	C42
Cell-122830	P2	C25
Cell-122836	P2	C9
Cell-122838	P2	C16
Cell-122850	P2	C19
Cell-122854	P2	C3
Cell-122857	P2	C57
Cell-122867	P2	C5
Cell-122875	P2	C13
Cell-122879	P2	C5
Cell-122880	P2	C1
Cell-122881	P2	C1
Cell-122883	P2	C56
Cell-122898	P2	C28
Cell-122899	P2	C44
Cell-122901	P2	C11
