Barcode	Set	CellType
Cell-6138	P11	C4
Cell-6158	P11	C47
Cell-6159	P11	C53
Cell-6168	P11	C12
Cell-6169	P11	C26
Cell-6170	P11	C19
Cell-6171	P11	C53
Cell-6172	P11	C21
Cell-6174	P11	C3
Cell-6176	P11	C9
Cell-6181	P11	C55
Cell-6185	P11	C18
Cell-6219	P11	C13
Cell-6227	P11	C29
Cell-6238	P11	C53
Cell-6239	P11	C53
Cell-6255	P11	C31
Cell-6256	P11	C8
Cell-6269	P11	C16
Cell-6282	P11	C18
Cell-6285	P11	C41
Cell-6286	P11	C24
Cell-6287	P11	C22
Cell-6290	P11	C14
Cell-6300	P11	C18
Cell-6301	P11	C16
Cell-6302	P11	C1
Cell-6333	P11	C16
Cell-6343	P11	C35
Cell-6344	P11	C18
Cell-6359	P11	C9
Cell-6360	P11	C54
Cell-6361	P11	C45
Cell-6366	P11	C8
Cell-6392	P11	C18
Cell-6395	P11	C54
Cell-6413	P11	C4
Cell-6414	P11	C53
Cell-6416	P11	C12
Cell-6417	P11	C10
Cell-6435	P11	C5
Cell-6462	P11	C16
Cell-6463	P11	C4
Cell-6466	P11	C40
Cell-6467	P11	C11
Cell-6484	P11	C47
Cell-6485	P11	C53
Cell-6486	P11	C4
Cell-6487	P11	C40
Cell-6488	P11	C43
Cell-6490	P11	C29
Cell-6491	P11	C12
Cell-6505	P11	C27
Cell-6506	P11	C1
Cell-6539	P11	C8
Cell-6541	P11	C20
Cell-6547	P11	C20
Cell-6548	P11	C9
Cell-6549	P11	C1
Cell-6580	P11	C8
Cell-6582	P11	C16
Cell-6583	P11	C53
Cell-6584	P11	C55
Cell-6596	P11	C19
Cell-6597	P11	C38
Cell-6598	P11	C10
Cell-6600	P11	C12
Cell-6610	P11	C19
Cell-6611	P11	C41
Cell-6621	P11	C11
Cell-6623	P11	C40
Cell-6624	P11	C17
Cell-6626	P11	C18
Cell-6635	P11	C16
Cell-6641	P11	C26
Cell-6643	P11	C1
Cell-6667	P11	C1
Cell-6670	P11	C14
Cell-6681	P11	C12
Cell-6691	P11	C41
Cell-6692	P11	C8
Cell-6696	P11	C3
Cell-6698	P11	C14
Cell-6712	P11	C3
Cell-6713	P11	C13
Cell-6727	P11	C25
Cell-6739	P11	C19
Cell-6753	P11	C26
Cell-6756	P11	C37
Cell-6767	P11	C12
Cell-6769	P11	C16
Cell-6775	P11	C41
Cell-6776	P11	C21
Cell-6777	P11	C12
Cell-6782	P11	C14
Cell-6784	P11	C41
Cell-6786	P11	C4
